stadium,state,lat,long
Alamodome,TX,29.416918,-98.479271
Target Center,MN,44.979595,-93.276566
Camping World Stadium,FL,28.539143,-81.403076
Smoothie King Center,LA,29.94903,-90.082298
Rocket Mortgage FieldHouse,OH,41.49662,-81.688431
United Center,IL,41.880692,-87.67437
AT&T Center,TX,29.426931,-98.437599
Chase Center,CA,37.768009,-122.387787
KeyBank Center,NY,42.875134,-78.876785
Moda Center,OR,45.531609,-122.667236
M&T Bank Stadium,MD,39.278088,-76.623322
NRG Stadium,TX,29.68486,-95.411667
U.S. Bank Stadium,MN,44.973774,-93.258736
Lincoln Financial Field,PA,39.900898,-75.168098
Mile High Stadium,CO,39.744129,-105.020828
NRG Park,TX,29.684853,-95.412178
Kauffman Stadium,MO,39.05191,-94.480682
Guaranteed Rate Field,IL,41.830017,-87.634598
Great American Ball Park,OH,39.097458,-84.507103
Tropicana Field,FL,27.768284,-82.653961
Target Field,MN,44.982075,-93.278435
T-Mobile Park,WA,47.59148,-122.332863
Coors Field,CO,39.756229,-104.994865
Citizens Bank Park,PA,39.906216,-75.167465
Citi Field,NY,40.757256,-73.846237
Chase Field,AZ,33.445564,-112.067413
Progressive Field,OH,41.496262,-81.686043
PNC Park,PA,40.447105,-80.006363
Oriole Park at Camden Yards,MD,39.284176,-76.622368
Oracle Park,CA,37.778572,-122.389717
RingCentral Coliseum,CA,37.751637,-122.201553
Angel Stadium of Anaheim,CA,33.80056,-117.883438
Nationals Park,WA,38.873055,-77.007996
The Forum,CA,33.958298,-118.342552
LA Memorial Coliseum,CA,34.014091,-118.288422
Truist Park,GA,33.890781,-84.468239
Minute Maid Park,TX,29.757017,-95.356209
Bank of America Stadium,NC,35.225845,-80.853607
Footprint Center,AZ,33.445938,-112.071487
Paycom Center,OK,35.463608,-97.51564
Gainbridge Fieldhouse,IN,39.763924,-86.155807
Caesars Superdome,CA,29.951439,-90.08197
Highmark Stadium,NY,42.773773,-78.78746
GEHA Field at Arrowhead Stadium,MO,39.048786,-94.484566
Arrowhead Stadium ,MO,39.048786,-94.484566
