stadium,lat,long
"Alamodome, TX, ",29.416918,-98.479271
"Target Center, MN, ",44.979595,-93.276566
"Camping World Stadium, FL, ",28.539143,-81.403076
"Smoothie King Center, LA, ",29.949030,-90.082298
"Rocket Mortgage FieldHouse, OH, ",41.496620,-81.688431
"United Center, IL, ",41.880692,-87.674370
"AT&T Center, TX, ",29.426931,-98.437599
"Chase Center, CA, ",37.768009,-122.387787
"KeyBank Center, NY, ",42.875134,-78.876785
"Moda Center, OR, ",45.531609,-122.667236
"M&T Bank Stadium, MD, ",39.278088,-76.623322
"NRG Stadium, TX, ",29.684860,-95.411667
"U.S. Bank Stadium, MN, ",44.973774,-93.258736
"Lincoln Financial Field, PA, ",39.900898,-75.168098
"Empower Field at Mile High, CO, ",39.744129,-105.020828
"NRG Park, TX, ",29.684853,-95.412178
"Kauffman Stadium, MO, ",39.051910,-94.480682
"Guaranteed Rate Field, IL, ",41.830017,-87.634598
"Great American Ball Park, OH, ",39.097458,-84.507103
"Tropicana Field, FL, ",27.768284,-82.653961
"Target Field, MN, ",44.982075,-93.278435
"T-Mobile Park, WA, ",47.591480,-122.332863
"Coors Field, CO, ",39.756229,-104.994865
"Citizens Bank Park, PA, ",39.906216,-75.167465
"Citi Field, NY, ",40.757256,-73.846237
"Chase Field, AZ, ",33.445564,-112.067413
"Progressive Field, OH, ",41.496262,-81.686043
"PNC Park, PA, ",40.447105,-80.006363
"Oriole Park at Camden Yards, MD, ",39.284176,-76.622368
"Oracle Park, CA, ",37.778572,-122.389717
"RingCentral Coliseum, CA, ",37.751637,-122.201553
"Angel Stadium of Anaheim, CA, ",33.800560,-117.883438
"Nationals Park, WA, ",38.873055,-77.007996
"The Forum, CA, ",33.958298,-118.342552
"LA Memorial Coliseum, CA, ",34.014091,-118.288422
"Truist Park, GA, ",33.890781,-84.468239
"Minute Maid Park, TX, ",29.757017,-95.356209
"Bank of America Stadium, NC, ",35.225845,-80.853607
"Footprint Center, AZ, ",33.445938,-112.071487
"Paycom Center, OK, ",35.463608,-97.515640
"Gainbridge Fieldhouse, IN, ",39.763924,-86.155807
"Caesars Superdome, LA, ",29.951439,-90.081970
"Highmark Stadium, NY, ",42.773773,-78.787460
"Arrowhead Stadium, MO, ",39.048786,-94.484566
"Banc of California Stadium, CA, ",34.012810,-118.284477
"Muncy Bank Ballpark at Historic Bowman Field, PA, ",41.242344,-77.047478
"Lindner Family Tennis Center, OH, ",39.350521,-84.275139
"American Family Field, WI, ",43.027954,-87.971497
"LoanDepot Park, FL, ",25.778301,-80.220352
"Sloan Park, Mesa, AZ, ",33.431183,-111.882111
"State Farm Stadium, AZ, ",33.527283,-112.263275
"Allegiant Stadium, NV, ",36.090794,-115.183952
"Soldier Field, Chicago, IL, ",41.862366,-87.617256
"Ford Field, Detroit, MI, ",42.340115,-83.046341
"Toyota Stadium, TX, ",33.154320,-96.835426
"Hard Rock Stadium, FL, ",25.957960,-80.239311
"Mercedes-Benz Stadium, GA, ",33.755489,-84.401993
"USTA Billie Jean King National Tennis Center, NY, ",40.750694,-73.846336
"Nassau Veterans Memorial Coliseum, NY, ",40.722897,-73.591064
"Wells Fargo Center, PA, ",39.901333,-75.172592
"Enterprise Center, MO, ",38.627033,-90.203178
"Xcel Energy Center, MN, ",44.944675,-93.100594
"Fiserv Forum, WI, ",43.045231,-87.917923
"FedExForum, TN, ",35.138351,-90.051025
"American Airlines Center, TX, ",32.790527,-96.810883
"TD Garden, Boston, MA, ",42.366291,-71.062630
"Arthur Ashe Stadium, NY, ",40.749859,-73.847595
"SoFi Stadium, CA, ",33.953587,-118.339630
"FirstEnergy Stadium, Ohio, ",41.506035,-81.700058
"AT&T Stadium, TX, ",32.747841,-97.093628
"Raymond James Stadium, FL, ",27.975958,-82.503693
"Dodger Stadium, Los Angeles, ",34.073814,-118.240784
"Roger Dean Stadium, Jupiter, FL, ",26.890959,-80.116577
"Texas Memorial Stadium, Austin, Texas, ",30.283682,-97.732536
"Bryant-Denny Stadium, Tuscaloosa, AL, ",33.208973,-87.550438
"Tiger Stadium, Baton Rouge, LA, ",30.412035,-91.183815
"Neyland Stadium, Knoxville, TN, ",35.955013,-83.925011
"Kyle Field, College Station, TX, ",30.610250,-96.339844
"Ohio Stadium, Columbus, OH, ",40.001633,-83.019707
"Beaver Stadium, University Park, PA, ",40.812195,-77.856102
"Michigan Stadium, Ann Arbor, MI, ",42.265835,-83.748695
"Yankee Stadium, NY, ",40.829659,-73.926186
"University of Phoenix Stadium, Glendale, AZ, ",33.528839,-112.263901
"Fenway Park, MA, ",42.346268,-71.095764
"Arlotta Stadium, South Bend, IN, ",41.697578,-86.228096
"Porcupine Stadium, Springtown, TX, ",32.976746,-97.693474
"Wrigley Field, Chicago, IL, ",41.947746,-87.656036
"Comerica Park, MI, ",42.338356,-83.048134
"Circuit of the Americas, Austin, TX, ",30.133883,-97.641144
"Wrigley Field, Chicago, IL, ",41.948463,-87.655800
"Strawberry Stadium, Hammond, LA, ",30.511808,-90.468742
"Rose Bowl Stadium, Pasadena, CA, ",34.161327,-118.167648
"Paul Brown Stadium, Cincinnati, OH, ",39.096306,-84.516846
"TIAA Bank Field, FL, ",30.323471,-81.636528
"Busch Stadium, MO, ",38.622780,-90.193329
"MetLife Stadium, NJ, ",40.813778,-74.074310
"Lucas Oil Stadium, IN, ",39.759991,-86.163712
